SL_No,Module,Function,Function_Return_Type,Function_Arguments,Function_Argument_Type,Annotator_Type
1,cli,choice,Unknown,N/A,Some type needed.,AST
2,cli,description,Unknown,N/A,Some type needed.,AST
3,cli,due_date,Unknown,N/A,Some type needed.,AST
4,cli,category,Unknown,N/A,Some type needed.,AST
5,cli,tasks_table,Unknown,N/A,Some type needed.,AST
6,cli,sub_choice,Unknown,N/A,Some type needed.,AST
7,cli,task_id,Unknown,N/A,Some type needed.,AST
8,cli,proceed,Unknown,N/A,Some type needed.,AST
5,task_manager,TASKS_FILE,str,N/A,Inferred,Conditional
2,task_manager,tasks,Unknown,N/A,Some type needed.,AST
3,task_manager,new_task,Unknown,N/A,"Dict[str, Some type needed].",AST
5,task_manager,table,Unknown,N/A,Some type needed.,AST
1,task_manager,json,Any,N/A,Inferred,Conditional
2,task_manager,os,Any,N/A,Inferred,Conditional
3,task_manager,datetime,function,N/A,Inferred,Conditional
4,task_manager,Any,function,N/A,Inferred,Conditional
6,task_manager,load_tasks,function,N/A,Inferred,Conditional
7,task_manager,save_tasks,function,N/A,Inferred,Conditional
8,task_manager,add_task,function,N/A,Inferred,Conditional
9,task_manager,list_tasks,function,N/A,Inferred,Conditional
10,task_manager,flush_task,function,N/A,Inferred,Conditional
11,task_manager,flush_all_tasks,function,N/A,Inferred,Conditional
12,task_manager,delete_all_tasks,function,N/A,Inferred,Conditional
1,cli,add_task,str,"description, due_date, category",Explicit,RightTyper
2,cli,list_tasks,function,N/A,Inferred,Conditional
2,cli,flush_task,str,task_id,Explicit,RightTyper
4,cli,flush_all_tasks,function,N/A,Inferred,Conditional
5,cli,delete_all_tasks,function,N/A,Inferred,Conditional
6,cli,tabulate,function,N/A,Inferred,Conditional
7,cli,main,function,N/A,Inferred,Conditional
3,cli,save_tasks,None,tasks,Explicit,RightTyper
